,importancia
ear_mean,0.0813200356641617
ear_min,0.0551269929327558
gaze_v_std,0.0446535733011317
ear_std,0.0415481537342759
gaze_h_std,0.0380419189914516
ear_max,0.0379537091195447
roll_std,0.0355078335102122
gaze_h_min,0.0351829844761177
gaze_offset_std,0.0350921807784697
gaze_v_max,0.0336479081963348
yaw_min,0.032579312302558
gaze_offset_mean,0.030475825162066
roll_min,0.0303797812610819
yaw_std,0.0299161442293494
mar_std,0.0290706169042262
gaze_offset_max,0.0290175884028815
pitch_std,0.0274286374311667
mar_max,0.0270506498860155
yaw_mean,0.0255092216842475
yaw_max,0.0253299685574347
pitch_min,0.0252957273899833
gaze_offset_min,0.0248808807519562
roll_mean,0.0240335391750829
mar_mean,0.0238876495522181
gaze_h_mean,0.0238218742040087
gaze_h_max,0.0228407834876138
pitch_max,0.0223694903427897
mar_min,0.0221499957172648
gaze_v_mean,0.0220715896148829
gaze_v_min,0.0215359269930879
pitch_mean,0.0214033527215564
roll_max,0.0208761535240703
face_detection_rate,0.0
